date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
03/17/2020,"AthThulatha, 17 Rabi' Awwal, 2020",5:42 AM,6:20 AM,7:04 AM,12:03 PM,1:15 PM,5:13 PM,5:50 PM,7:06 PM,7:06 PM,8:25 PM,8:40 PM,12:15 PM,1:15 PM
03/18/2020,"AlArbia'a, 18 Rabi' Awwal, 2020",5:40 AM,6:20 AM,7:02 AM,12:03 PM,1:15 PM,5:14 PM,5:50 PM,7:07 PM,7:07 PM,8:26 PM,8:40 PM,12:15 PM,1:15 PM
03/19/2020,"AlKhamis, 19 Rabi' Awwal, 2020",5:38 AM,6:00 AM,7:00 AM,12:03 PM,1:15 PM,5:15 PM,5:50 PM,7:08 PM,7:08 PM,8:28 PM,8:40 PM,12:15 PM,1:15 PM
03/20/2020,"AlJumaa, 20 Rabi' Awwal, 2020",5:36 AM,6:00 AM,6:58 AM,12:02 PM,1:15 PM,5:16 PM,5:50 PM,7:10 PM,7:10 PM,8:29 PM,8:40 PM,12:15 PM,1:15 PM
03/21/2020,"AsSabt, 21 Rabi' Awwal, 2020",5:34 AM,6:00 AM,6:56 AM,12:02 PM,1:15 PM,5:17 PM,5:50 PM,7:11 PM,7:11 PM,8:31 PM,8:40 PM,12:15 PM,1:15 PM
03/22/2020,"AlAhad, 22 Rabi' Awwal, 2020",5:32 AM,6:00 AM,6:54 AM,12:02 PM,1:15 PM,5:18 PM,5:50 PM,7:12 PM,7:12 PM,8:32 PM,8:40 PM,12:15 PM,1:15 PM
03/23/2020,"AlEthnien, 23 Rabi' Awwal, 2020",5:30 AM,6:00 AM,6:52 AM,12:02 PM,1:15 PM,5:19 PM,5:50 PM,7:14 PM,7:14 PM,8:33 PM,8:40 PM,12:15 PM,1:15 PM
03/24/2020,"AthThulatha, 24 Rabi' Awwal, 2020",5:28 AM,6:00 AM,6:50 AM,12:01 PM,1:15 PM,5:20 PM,5:50 PM,7:15 PM,7:15 PM,8:35 PM,8:50 PM,12:15 PM,1:15 PM
03/25/2020,"AlArbia'a, 25 Rabi' Awwal, 2020",5:25 AM,6:00 AM,6:48 AM,12:01 PM,1:15 PM,5:21 PM,5:50 PM,7:16 PM,7:16 PM,8:36 PM,8:50 PM,12:15 PM,1:15 PM
03/26/2020,"AlKhamis, 26 Rabi' Awwal, 2020",5:23 AM,6:00 AM,6:46 AM,12:01 PM,1:15 PM,5:22 PM,5:50 PM,7:18 PM,7:18 PM,8:38 PM,8:50 PM,12:15 PM,1:15 PM
03/27/2020,"AlJumaa, 27 Rabi' Awwal, 2020",5:21 AM,6:00 AM,6:45 AM,12:00 PM,1:15 PM,5:23 PM,5:50 PM,7:19 PM,7:19 PM,8:39 PM,8:50 PM,12:15 PM,1:15 PM
03/28/2020,"AsSabt, 28 Rabi' Awwal, 2020",5:19 AM,6:00 AM,6:43 AM,12:00 PM,1:15 PM,5:24 PM,5:50 PM,7:20 PM,7:20 PM,8:41 PM,8:50 PM,12:15 PM,1:15 PM
03/29/2020,"AlAhad, 29 Rabi' Awwal, 2020",5:17 AM,6:00 AM,6:41 AM,12:00 PM,1:15 PM,5:25 PM,5:50 PM,7:22 PM,7:22 PM,8:42 PM,8:50 PM,12:15 PM,1:15 PM
03/30/2020,"AlEthnien, 30 Rabi' Awwal, 2020",5:15 AM,6:00 AM,6:39 AM,11:59 AM,1:15 PM,5:26 PM,5:50 PM,7:23 PM,7:23 PM,8:44 PM,8:50 PM,12:15 PM,1:15 PM
03/31/2020,"AthThulatha, 31 Rabi' Awwal, 2020",5:13 AM,5:50 AM,6:37 AM,11:59 AM,1:15 PM,5:26 PM,6:00 PM,7:24 PM,7:24 PM,8:45 PM,9:00 PM,12:15 PM,1:15 PM
04/01/2020,"AlArbia'a, 01 Rabi' Thani, 2020",5:11 AM,5:50 AM,6:35 AM,12:59 PM,1:15 PM,5:27 PM,6:00 PM,7:25 PM,7:25 PM,8:47 PM,9:00 PM,1:15 PM,2:15 PM
