,date,dateHijri,adhanFajr,iqamaFajr,shourouk,adhanDhuhr,iqamaDhuhr,adhanAsr,iqamaAsr,adhanMaghrib,iqamaMaghrib,adhanIsha,iqamaIsha,Jumua1,Jumua2
76,03/17/2024,"AthThulatha, 17 Rabi' Awwal, 2024",05:41 AM,06:01 AM,07:03 AM,01:04 PM,01:15 PM,04:24 PM,05:00 PM,07:04 PM,07:09 PM,08:26 PM,08:41 PM,12:15 PM,1:15 PM
77,03/18/2024,"AlArbia'a, 18 Rabi' Awwal, 2024",05:39 AM,05:59 AM,07:01 AM,01:03 PM,01:15 PM,04:25 PM,05:00 PM,07:06 PM,07:11 PM,08:28 PM,08:43 PM,12:15 PM,1:15 PM
78,03/19/2024,"AlKhamis, 19 Rabi' Awwal, 2024",05:37 AM,05:57 AM,06:59 AM,01:03 PM,01:15 PM,04:26 PM,05:00 PM,07:07 PM,07:12 PM,08:29 PM,08:44 PM,12:15 PM,1:15 PM
79,03/20/2024,"AlJumaa, 20 Rabi' Awwal, 2024",05:35 AM,05:55 AM,06:57 AM,01:03 PM,01:15 PM,04:26 PM,05:00 PM,07:08 PM,07:13 PM,08:31 PM,08:46 PM,12:15 PM,1:15 PM
80,03/21/2024,"AsSabt, 21 Rabi' Awwal, 2024",05:33 AM,05:53 AM,06:55 AM,01:02 PM,01:15 PM,04:27 PM,05:00 PM,07:10 PM,07:15 PM,08:32 PM,08:47 PM,12:15 PM,1:15 PM
81,03/22/2024,"AlAhad, 22 Rabi' Awwal, 2024",05:31 AM,05:51 AM,06:53 AM,01:02 PM,01:15 PM,04:28 PM,05:00 PM,07:11 PM,07:16 PM,08:34 PM,08:49 PM,12:15 PM,1:15 PM
82,03/23/2024,"AlEthnien, 23 Rabi' Awwal, 2024",05:29 AM,05:49 AM,06:51 AM,01:02 PM,01:15 PM,04:28 PM,05:00 PM,07:12 PM,07:17 PM,08:35 PM,08:50 PM,12:15 PM,1:15 PM
83,03/24/2024,"AthThulatha, 24 Rabi' Awwal, 2024",05:27 AM,05:47 AM,06:50 AM,01:02 PM,01:15 PM,04:29 PM,05:00 PM,07:14 PM,07:19 PM,08:37 PM,08:52 PM,12:15 PM,1:15 PM
84,03/25/2024,"AlArbia'a, 25 Rabi' Awwal, 2024",05:25 AM,05:45 AM,06:48 AM,01:01 PM,01:15 PM,04:30 PM,05:00 PM,07:15 PM,07:20 PM,08:38 PM,08:53 PM,12:15 PM,1:15 PM
85,03/26/2024,"AlKhamis, 26 Rabi' Awwal, 2024",05:22 AM,05:42 AM,06:46 AM,01:01 PM,01:15 PM,04:30 PM,05:00 PM,07:16 PM,07:21 PM,08:39 PM,08:54 PM,12:15 PM,1:15 PM
